Timestamp;3010
00:01:51;2017.04.26 11:11:52
00:01:56;2017.04.26 11:11:52
00:02:01;2017.04.26 11:11:52
00:02:06;2017.04.26 11:11:52
00:02:11;2017.04.26 11:11:52
00:02:16;2017.04.26 11:11:52
00:02:21;2017.04.26 11:11:52
00:02:26;2017.04.26 11:11:52
00:02:31;2017.04.26 11:11:52
00:02:46;2017.04.26 11:11:52
00:02:56;2017.04.26 11:11:52
00:03:01;2017.04.26 11:11:52
00:03:06;2017.04.26 11:11:52
00:03:17;
00:03:22;
00:03:32;
00:03:37;
00:03:42;
00:03:47;
00:03:52;
00:03:57;
00:04:07;
00:04:12;
00:04:17;
00:04:22;
00:04:27;
00:04:37;
00:04:42;
00:04:47;
00:04:52;
00:04:57;
00:05:02;
00:05:12;
00:05:17;
00:05:22;
00:05:27;
00:05:32;
00:05:37;
00:05:42;
00:05:47;
00:05:52;
00:05:57;
00:06:02;
00:06:07;
00:06:12;
00:06:16;2017.04.26 11:11:52
00:06:21;
00:06:26;
00:06:31;
00:06:36;
00:06:41;
00:06:46;
00:06:51;
00:06:56;
00:07:01;
00:07:06;2017.04.26 11:11:52
00:07:11;2017.04.26 11:11:52
00:07:16;2017.04.26 11:11:52
00:07:21;2017.04.26 11:11:52
00:07:26;2017.04.26 11:11:52
00:07:31;2017.04.26 11:11:52
00:07:36;2017.04.26 11:11:52
00:07:41;2017.04.26 11:11:52
00:07:46;2017.04.26 11:11:52
00:07:51;2017.04.26 11:11:52
00:07:56;2017.04.26 11:11:52
00:08:01;2017.04.26 11:11:52
00:08:06;2017.04.26 11:11:52
00:08:11;2017.04.26 11:11:52
00:08:16;2017.04.26 11:11:52
00:08:21;2017.04.26 11:11:52
00:08:26;2017.04.26 11:11:52
00:08:31;2017.04.26 11:11:52
00:08:36;2017.04.26 11:11:52
00:08:41;2017.04.26 11:11:52
00:08:46;2017.04.26 11:11:52
00:08:51;2017.04.26 11:11:52
00:08:56;2017.04.26 11:11:52
00:09:01;2017.04.26 11:11:52
00:09:06;2017.04.26 11:11:52
00:09:11;2017.04.26 11:11:52
00:09:16;2017.04.26 11:11:52
00:09:21;2017.04.26 11:11:52
00:09:26;2017.04.26 11:11:52
00:09:31;2017.04.26 11:11:52
00:09:36;2017.04.26 11:11:52
00:09:41;2017.04.26 11:11:52
00:09:46;2017.04.26 11:11:52
00:09:51;2017.04.26 11:11:52
00:09:56;2017.04.26 11:11:52
00:10:01;2017.04.26 11:11:52
00:10:06;2017.04.26 11:11:52
00:10:11;2017.04.26 11:11:52
00:10:16;2017.04.26 11:11:52
00:10:21;2017.04.26 11:11:52
00:10:26;2017.04.26 11:11:52
00:10:31;2017.04.26 11:11:52
00:10:36;2017.04.26 11:11:52
00:10:41;2017.04.26 11:11:52
00:10:46;2017.04.26 11:11:52
00:10:51;2017.04.26 11:11:52
00:10:56;2017.04.26 11:11:52
00:11:01;2017.04.26 11:11:52
00:11:06;2017.04.26 11:11:52
00:11:11;2017.04.26 11:11:52
00:11:16;2017.04.26 11:11:52
00:11:21;2017.04.26 11:11:52
00:11:26;2017.04.26 11:11:52
00:11:31;2017.04.26 11:11:52
00:11:36;2017.04.26 11:11:52
00:11:41;2017.04.26 11:11:52
00:11:46;2017.04.26 11:11:52
00:11:51;2017.04.26 11:11:52
00:11:56;2017.04.26 11:11:52
00:12:01;2017.04.26 11:11:52
00:12:06;2017.04.26 11:11:52
00:12:11;2017.04.26 11:11:52
00:12:16;2017.04.26 11:11:52
00:12:21;2017.04.26 11:11:52
00:12:26;2017.04.26 11:11:52
00:12:31;2017.04.26 11:11:52
00:12:36;2017.04.26 11:11:52
00:12:41;2017.04.26 11:11:52
00:12:46;2017.04.26 11:11:52
00:12:51;2017.04.26 11:11:52
00:12:56;2017.04.26 11:11:52
00:13:01;2017.04.26 11:11:52
00:13:06;2017.04.26 11:11:52
00:13:11;2017.04.26 11:11:52
00:13:16;2017.04.26 11:11:52
00:13:21;2017.04.26 11:11:52
00:13:26;2017.04.26 11:11:52
00:13:32;
00:13:37;
00:13:42;
00:13:46;2017.04.26 11:11:52
00:13:51;2017.04.26 11:11:52
00:13:56;2017.04.26 11:11:52
00:14:01;2017.04.26 11:11:52
00:14:06;2017.04.26 11:11:52
00:14:11;2017.04.26 11:11:52
00:14:16;2017.04.26 11:11:52
00:14:21;2017.04.26 11:11:52
00:14:26;2017.04.26 11:11:52
00:14:31;2017.04.26 11:11:52
00:14:36;2017.04.26 11:11:52
00:14:41;2017.04.26 11:11:52
00:14:46;2017.04.26 11:11:52
00:14:51;2017.04.26 11:11:52
00:14:56;2017.04.26 11:11:52
00:15:01;2017.04.26 11:11:52
00:15:06;2017.04.26 11:11:52
00:15:11;2017.04.26 11:11:52
00:15:16;2017.04.26 11:11:52
00:15:21;
00:15:27;
00:15:32;
00:15:37;
00:15:42;
00:15:47;
00:15:52;
00:15:57;
00:16:02;
00:16:07;
00:16:17;
00:16:22;
00:16:27;
00:16:32;
00:16:37;
00:16:42;
00:16:47;
00:16:52;
00:17:02;
00:17:07;
00:17:12;
00:17:17;
00:17:22;
00:17:27;
00:17:32;
00:17:37;
00:17:42;
00:17:47;
00:17:52;
00:17:57;
00:18:02;
00:18:07;
00:18:12;
00:18:17;
00:18:22;
00:18:27;
00:18:37;
00:18:42;
00:18:47;
00:18:52;
00:18:57;
00:19:02;
00:19:07;
00:19:12;
00:19:17;
00:19:22;
00:19:27;
00:19:32;
00:19:42;
00:19:47;
00:19:52;
00:20:02;
00:20:07;
